-150000,-147000,-144000,-141000,-138000,-135000,-132000,-129000,-126000,-123000,-120000,-117000,-114000,-111000,-108000,-105000,-102000,-99000,-96000,-93000,-90000,-87000,-84000,-81000,-78000,-75000,-72000,-69000,-66000,-63000,-60000,-57000,-54000,-51000,-48000,-45000,-42000,-39000,-36000,-33000,-30000,-27000,-24000,-21000,-18000,-15000,-12000,-9000,-6000,-3000,0,3000,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000,36000,39000,42000,45000,48000,51000,54000,57000,60000,63000,66000,69000,72000,75000,78000,81000,84000,87000,90000,93000,96000,99000,102000,105000,108000,111000,114000,117000,120000,123000,126000,129000,132000,135000,138000,141000,144000,147000,
0.0455617,-6.87106e-10,-7.31238e-10,-7.79129e-10,-8.31189e-10,-8.8788e-10,-9.4973e-10,-1.01734e-09,-1.09139e-09,-1.17267e-09,-1.26208e-09,-1.36067e-09,-1.46964e-09,-1.5904e-09,-1.72458e-09,-1.8741e-09,-2.04122e-09,-2.22859e-09,-2.4394e-09,-2.6774e-09,-2.94714e-09,-3.25408e-09,-3.60486e-09,-4.00759e-09,-4.47225e-09,-5.01123e-09,-5.63997e-09,-6.37798e-09,-7.25005e-09,-8.28804e-09,-9.53335e-09,-1.10404e-08,-1.28819e-08,-1.51556e-08,-1.79965e-08,-2.15929e-08,-2.62134e-08,-3.22501e-08,-4.02899e-08,-5.12374e-08,-6.65351e-08,-8.85771e-08,-1.21529e-07,-1.7307e-07,-2.5839e-07,-4.10383e-07,-7.09257e-07,-1.38548e-06,-3.28456e-06,-1.10866e-05,-8.86853e-05,1.54636e-05,8.87116e-05,1.10932e-05,3.28751e-06,1.38715e-06,7.1034e-07,4.11146e-07,2.5896e-07,1.73514e-07,1.21888e-07,8.88744e-08,6.67869e-08,5.14546e-08,4.04802e-08,3.2419e-08,2.6365e-08,2.17304e-08,1.81224e-08,1.52717e-08,1.29897e-08,1.11412e-08,9.62798e-09,8.37739e-09,7.33479e-09,6.45868e-09,5.71711e-09,5.0852e-09,4.54341e-09,4.07622e-09,3.67122e-09,3.3184e-09,3.00961e-09,2.7382e-09,2.49866e-09,2.28647e-09,2.09781e-09,1.92952e-09,1.77893e-09,1.64375e-09,1.52207e-09,1.41225e-09,1.31287e-09,1.22273e-09,1.14076e-09,1.06608e-09,9.97874e-10,9.35468e-10,8.78256e-10,8.25707e-10,7.77356e-10,
0.0911235,-2.74842e-09,-2.92495e-09,-3.11652e-09,-3.32475e-09,-3.55152e-09,-3.79892e-09,-4.06934e-09,-4.36555e-09,-4.69067e-09,-5.04832e-09,-5.44267e-09,-5.87856e-09,-6.36159e-09,-6.89831e-09,-7.49639e-09,-8.16486e-09,-8.91437e-09,-9.75757e-09,-1.07096e-08,-1.17885e-08,-1.30163e-08,-1.44194e-08,-1.60303e-08,-1.7889e-08,-2.00449e-08,-2.25598e-08,-2.55119e-08,-2.90001e-08,-3.31521e-08,-3.81333e-08,-4.41617e-08,-5.15273e-08,-6.06224e-08,-7.19858e-08,-8.6371e-08,-1.04853e-07,-1.29e-07,-1.61158e-07,-2.04948e-07,-2.66138e-07,-3.54304e-07,-4.8611e-07,-6.92266e-07,-1.03353e-06,-1.64148e-06,-2.83689e-06,-5.54149e-06,-1.31364e-05,-4.43328e-05,-0.000354308,1.60182e-05,0.000354413,4.43591e-05,1.31482e-05,5.54818e-06,2.84122e-06,1.64453e-06,1.03581e-06,6.94044e-07,4.87545e-07,3.55493e-07,2.67145e-07,2.05817e-07,1.6192e-07,1.29675e-07,1.0546e-07,8.69213e-08,7.24894e-08,6.10867e-08,5.19585e-08,4.45645e-08,3.85118e-08,3.35095e-08,2.93391e-08,2.58347e-08,2.28684e-08,2.03408e-08,1.81736e-08,1.63049e-08,1.46849e-08,1.32736e-08,1.20384e-08,1.09528e-08,9.99465e-09,9.14586e-09,8.39124e-09,7.71809e-09,7.11569e-09,6.57499e-09,6.08829e-09,5.649e-09,5.25149e-09,4.8909e-09,4.56305e-09,4.2643e-09,3.99149e-09,3.74187e-09,3.51302e-09,3.30282e-09,3.10942e-09,
0.136685,-6.18395e-09,-6.58113e-09,-7.01215e-09,-7.48069e-09,-7.99091e-09,-8.54755e-09,-9.15601e-09,-9.82247e-09,-1.0554e-08,-1.13587e-08,-1.2246e-08,-1.32267e-08,-1.43136e-08,-1.55212e-08,-1.68669e-08,-1.83709e-08,-2.00573e-08,-2.19545e-08,-2.40965e-08,-2.65242e-08,-2.92866e-08,-3.24436e-08,-3.60681e-08,-4.02501e-08,-4.51008e-08,-5.07595e-08,-5.74015e-08,-6.525e-08,-7.45918e-08,-8.57995e-08,-9.93632e-08,-1.15936e-07,-1.36399e-07,-1.61967e-07,-1.94333e-07,-2.35917e-07,-2.90246e-07,-3.62602e-07,-4.61126e-07,-5.988e-07,-7.97168e-07,-1.09372e-06,-1.55755e-06,-2.32535e-06,-3.69311e-06,-6.38248e-06,-1.24668e-05,-2.95503e-05,-9.9698e-05,-0.000795571,1.60597e-05,0.000795806,9.97572e-05,2.95768e-05,1.24818e-05,6.39223e-06,3.69998e-06,2.33048e-06,1.56155e-06,1.09695e-06,7.99843e-07,6.01066e-07,4.63081e-07,3.64314e-07,2.91766e-07,2.37282e-07,1.95571e-07,1.631e-07,1.37444e-07,1.16906e-07,1.0027e-07,8.66512e-08,7.5396e-08,6.60127e-08,5.81278e-08,5.14537e-08,4.57666e-08,4.08905e-08,3.66858e-08,3.30409e-08,2.98655e-08,2.70864e-08,2.46437e-08,2.24879e-08,2.05781e-08,1.88803e-08,1.73657e-08,1.60103e-08,1.47937e-08,1.36986e-08,1.27102e-08,1.18158e-08,1.10045e-08,1.02669e-08,9.59467e-09,8.98085e-09,8.4192e-09,7.90429e-09,7.43135e-09,6.99619e-09,
0.182247,-1.09937e-08,-1.16998e-08,-1.2466e-08,-1.3299e-08,-1.4206e-08,-1.51956e-08,-1.62773e-08,-1.74621e-08,-1.87626e-08,-2.01932e-08,-2.17706e-08,-2.35142e-08,-2.54463e-08,-2.75931e-08,-2.99855e-08,-3.26593e-08,-3.56573e-08,-3.90301e-08,-4.28382e-08,-4.71539e-08,-5.20649e-08,-5.76773e-08,-6.41209e-08,-7.15555e-08,-8.01789e-08,-9.02387e-08,-1.02047e-07,-1.15999e-07,-1.32607e-07,-1.52532e-07,-1.76644e-07,-2.06106e-07,-2.42486e-07,-2.87938e-07,-3.45477e-07,-4.19402e-07,-5.15985e-07,-6.44615e-07,-8.19763e-07,-1.06451e-06,-1.41715e-06,-1.94432e-06,-2.76885e-06,-4.13372e-06,-6.56501e-06,-1.13453e-05,-2.21592e-05,-5.25173e-05,-0.000177115,-0.00141033,1.60673e-05,0.00141074,0.00017722,5.25644e-05,2.2186e-05,1.13627e-05,6.57722e-06,4.14284e-06,2.77596e-06,1.95006e-06,1.4219e-06,1.06854e-06,8.23238e-07,6.47659e-07,5.18688e-07,4.21829e-07,3.47679e-07,2.89952e-07,2.44343e-07,2.07831e-07,1.78256e-07,1.54046e-07,1.34036e-07,1.17355e-07,1.03338e-07,9.14728e-08,8.13625e-08,7.26939e-08,6.5219e-08,5.87391e-08,5.3094e-08,4.81535e-08,4.38109e-08,3.99784e-08,3.65833e-08,3.35648e-08,3.08722e-08,2.84627e-08,2.62999e-08,2.43531e-08,2.25959e-08,2.10059e-08,1.95636e-08,1.82522e-08,1.70572e-08,1.59659e-08,1.49674e-08,1.40521e-08,1.32113e-08,1.24377e-08,
0.227809,-1.71776e-08,-1.82809e-08,-1.94782e-08,-2.07796e-08,-2.21969e-08,-2.37431e-08,-2.54333e-08,-2.72845e-08,-2.93165e-08,-3.15518e-08,-3.40165e-08,-3.67408e-08,-3.97597e-08,-4.31142e-08,-4.68521e-08,-5.103e-08,-5.57144e-08,-6.09844e-08,-6.69344e-08,-7.36777e-08,-8.13511e-08,-9.01204e-08,-1.00188e-07,-1.11805e-07,-1.25279e-07,-1.40997e-07,-1.59447e-07,-1.81248e-07,-2.07197e-07,-2.38329e-07,-2.76004e-07,-3.22038e-07,-3.7888e-07,-4.49898e-07,-5.39801e-07,-6.55305e-07,-8.06212e-07,-1.00719e-06,-1.28085e-06,-1.66324e-06,-2.21421e-06,-3.03787e-06,-4.32608e-06,-6.45845e-06,-1.02568e-05,-1.77245e-05,-3.46158e-05,-8.20248e-05,-0.000276488,-0.0021956,1.60697e-05,0.00219625,0.000276652,8.20983e-05,3.46576e-05,1.77516e-05,1.02759e-05,6.4727e-06,4.3372e-06,3.04683e-06,2.22164e-06,1.66954e-06,1.28628e-06,1.01195e-06,8.10434e-07,6.59097e-07,5.4324e-07,4.53045e-07,3.81782e-07,3.24733e-07,2.78522e-07,2.40694e-07,2.0943e-07,1.83366e-07,1.61464e-07,1.42925e-07,1.27128e-07,1.13584e-07,1.01904e-07,9.17795e-08,8.29591e-08,7.52395e-08,6.84543e-08,6.24661e-08,5.71612e-08,5.24449e-08,4.82377e-08,4.44728e-08,4.10935e-08,3.80516e-08,3.53061e-08,3.28216e-08,3.0568e-08,2.85189e-08,2.66518e-08,2.49467e-08,2.33866e-08,2.19563e-08,2.06426e-08,1.94338e-08,
0.27337,-2.47357e-08,-2.63244e-08,-2.80485e-08,-2.99226e-08,-3.19635e-08,-3.419e-08,-3.66238e-08,-3.92896e-08,-4.22157e-08,-4.54345e-08,-4.89836e-08,-5.29066e-08,-5.72538e-08,-6.20842e-08,-6.74669e-08,-7.34829e-08,-8.02284e-08,-8.78171e-08,-9.63851e-08,-1.06095e-07,-1.17145e-07,-1.29773e-07,-1.44271e-07,-1.60998e-07,-1.804e-07,-2.03034e-07,-2.29602e-07,-2.60995e-07,-2.9836e-07,-3.4319e-07,-3.97442e-07,-4.63728e-07,-5.45579e-07,-6.47843e-07,-7.773e-07,-9.43621e-07,-1.16092e-06,-1.45031e-06,-1.84436e-06,-2.39498e-06,-3.18832e-06,-4.37428e-06,-6.22912e-06,-9.29932e-06,-1.47679e-05,-2.55187e-05,-4.98328e-05,-0.000118057,-0.000397697,-0.0031476,1.60706e-05,0.00314853,0.000397933,0.000118163,4.9893e-05,2.55577e-05,1.47954e-05,9.31983e-06,6.24513e-06,4.3872e-06,3.19902e-06,2.40404e-06,1.85218e-06,1.45716e-06,1.167e-06,9.49081e-07,7.82252e-07,6.52375e-07,5.49758e-07,4.67609e-07,4.01068e-07,3.46596e-07,3.01577e-07,2.64045e-07,2.32507e-07,2.05811e-07,1.83063e-07,1.63559e-07,1.46741e-07,1.32162e-07,1.19461e-07,1.08344e-07,9.85737e-08,8.99507e-08,8.23118e-08,7.55204e-08,6.94621e-08,6.40406e-08,5.91744e-08,5.47941e-08,5.08406e-08,4.7263e-08,4.40178e-08,4.10672e-08,3.83785e-08,3.59232e-08,3.36766e-08,3.1617e-08,2.97253e-08,2.79846e-08,
0.318932,-3.36679e-08,-3.58304e-08,-3.8177e-08,-4.07279e-08,-4.35057e-08,-4.65363e-08,-4.9849e-08,-5.34774e-08,-5.746e-08,-6.18412e-08,-6.66719e-08,-7.20114e-08,-7.79284e-08,-8.45032e-08,-9.18295e-08,-1.00018e-07,-1.09199e-07,-1.19528e-07,-1.3119e-07,-1.44407e-07,-1.59446e-07,-1.76634e-07,-1.96367e-07,-2.19135e-07,-2.45543e-07,-2.7635e-07,-3.1251e-07,-3.55239e-07,-4.06097e-07,-4.67114e-07,-5.40955e-07,-6.31177e-07,-7.42582e-07,-8.8177e-07,-1.05797e-06,-1.28434e-06,-1.5801e-06,-1.97398e-06,-2.51029e-06,-3.25969e-06,-4.33943e-06,-5.9535e-06,-8.47782e-06,-1.2656e-05,-2.00978e-05,-3.47264e-05,-6.78055e-05,-0.000160594,-0.000540595,-0.00426178,1.60712e-05,0.00426303,0.000540916,0.000160738,6.78874e-05,3.47794e-05,2.01352e-05,1.2684e-05,8.49961e-06,5.97107e-06,4.35399e-06,3.27203e-06,2.52093e-06,1.9833e-06,1.58837e-06,1.29177e-06,1.06471e-06,8.87938e-07,7.4827e-07,6.36459e-07,5.45891e-07,4.7175e-07,4.10475e-07,3.59391e-07,3.16465e-07,2.8013e-07,2.49168e-07,2.22621e-07,1.9973e-07,1.79886e-07,1.62598e-07,1.47468e-07,1.34169e-07,1.22432e-07,1.12035e-07,1.02791e-07,9.45453e-08,8.71661e-08,8.05427e-08,7.45806e-08,6.91995e-08,6.433e-08,5.99129e-08,5.58968e-08,5.22372e-08,4.88954e-08,4.58375e-08,4.30341e-08,4.04593e-08,3.80901e-08,
0.364494,-4.39743e-08,-4.67987e-08,-4.98637e-08,-5.31955e-08,-5.68236e-08,-6.07819e-08,-6.51087e-08,-6.98478e-08,-7.50496e-08,-8.07719e-08,-8.70814e-08,-9.40554e-08,-1.01784e-07,-1.10371e-07,-1.1994e-07,-1.30635e-07,-1.42627e-07,-1.56118e-07,-1.71349e-07,-1.88612e-07,-2.08255e-07,-2.30704e-07,-2.56477e-07,-2.86214e-07,-3.20706e-07,-3.60943e-07,-4.08173e-07,-4.6398e-07,-5.30406e-07,-6.10099e-07,-7.06543e-07,-8.2438e-07,-9.69885e-07,-1.15168e-06,-1.3818e-06,-1.67746e-06,-2.06373e-06,-2.57816e-06,-3.27861e-06,-4.25734e-06,-5.66748e-06,-7.77541e-06,-1.1072e-05,-1.65283e-05,-2.62458e-05,-4.53459e-05,-8.85285e-05,-0.000209613,-0.000705008,-0.00553285,1.60717e-05,0.00553447,0.000705426,0.000209801,8.86354e-05,4.54151e-05,2.62946e-05,1.65647e-05,1.11005e-05,7.79836e-06,5.6865e-06,4.27345e-06,3.29251e-06,2.59034e-06,2.07454e-06,1.68717e-06,1.39061e-06,1.15973e-06,9.77314e-07,8.31279e-07,7.12989e-07,6.16155e-07,5.36124e-07,4.69404e-07,4.13337e-07,3.6588e-07,3.2544e-07,2.90768e-07,2.6087e-07,2.34951e-07,2.12372e-07,1.9261e-07,1.7524e-07,1.59911e-07,1.46331e-07,1.34257e-07,1.23487e-07,1.13849e-07,1.05198e-07,9.74111e-08,9.03826e-08,8.40226e-08,7.82534e-08,7.30079e-08,6.8228e-08,6.38631e-08,5.98693e-08,5.62077e-08,5.28446e-08,4.97502e-08,
0.410056,-5.56548e-08,-5.92295e-08,-6.31086e-08,-6.73253e-08,-7.19172e-08,-7.69268e-08,-8.24029e-08,-8.84008e-08,-9.49843e-08,-1.02226e-07,-1.10212e-07,-1.19038e-07,-1.28819e-07,-1.39688e-07,-1.51798e-07,-1.65334e-07,-1.80511e-07,-1.97585e-07,-2.16863e-07,-2.3871e-07,-2.63571e-07,-2.91982e-07,-3.24601e-07,-3.62236e-07,-4.0589e-07,-4.56814e-07,-5.16587e-07,-5.87217e-07,-6.71286e-07,-7.72145e-07,-8.94203e-07,-1.04334e-06,-1.22748e-06,-1.45755e-06,-1.7488e-06,-2.12297e-06,-2.61182e-06,-3.26285e-06,-4.14929e-06,-5.38789e-06,-7.1724e-06,-9.83991e-06,-1.40115e-05,-2.09156e-05,-3.32109e-05,-5.73749e-05,-0.000111995,-0.000265088,-0.000890737,-0.00695485,1.60721e-05,0.00695688,0.000891264,0.000265325,0.000112131,5.74626e-05,3.32727e-05,2.09618e-05,1.40475e-05,9.86896e-06,7.19647e-06,5.40828e-06,4.16688e-06,3.27826e-06,2.6255e-06,2.13526e-06,1.75994e-06,1.46775e-06,1.23689e-06,1.05207e-06,9.02361e-07,7.79809e-07,6.78523e-07,5.94081e-07,5.23124e-07,4.63062e-07,4.11881e-07,3.68e-07,3.3016e-07,2.97358e-07,2.68781e-07,2.4377e-07,2.21787e-07,2.02386e-07,1.85199e-07,1.69918e-07,1.56288e-07,1.4409e-07,1.33141e-07,1.23285e-07,1.1439e-07,1.06341e-07,9.9039e-08,9.24002e-08,8.63507e-08,8.08265e-08,7.57718e-08,7.11377e-08,6.68813e-08,6.2965e-08,
0.455617,-6.87095e-08,-7.31225e-08,-7.79115e-08,-8.31174e-08,-8.87863e-08,-9.4971e-08,-1.01732e-07,-1.09136e-07,-1.17264e-07,-1.26205e-07,-1.36063e-07,-1.4696e-07,-1.59035e-07,-1.72453e-07,-1.87404e-07,-2.04115e-07,-2.22852e-07,-2.43931e-07,-2.67729e-07,-2.94701e-07,-3.25393e-07,-3.60468e-07,-4.00738e-07,-4.47201e-07,-5.01093e-07,-5.63961e-07,-6.37753e-07,-7.24949e-07,-8.28734e-07,-9.53248e-07,-1.10393e-06,-1.28804e-06,-1.51538e-06,-1.7994e-06,-2.15895e-06,-2.62087e-06,-3.22434e-06,-4.02803e-06,-5.1223e-06,-6.65129e-06,-8.85413e-06,-1.21469e-05,-1.72961e-05,-2.58177e-05,-4.09923e-05,-7.08113e-05,-0.000138199,-0.000326988,-0.00109756,-0.00852117,1.60725e-05,0.00852365,0.00109821,0.000327281,0.000138366,7.09195e-05,4.10686e-05,2.58746e-05,1.73405e-05,1.21827e-05,8.88385e-06,6.67646e-06,5.14402e-06,4.04705e-06,3.24123e-06,2.63603e-06,2.1727e-06,1.81199e-06,1.52698e-06,1.29882e-06,1.114e-06,9.6271e-07,8.37669e-07,7.33423e-07,6.45823e-07,5.71674e-07,5.0849e-07,4.54316e-07,4.07601e-07,3.67105e-07,3.31825e-07,3.00949e-07,2.73809e-07,2.49857e-07,2.28639e-07,2.09774e-07,1.92946e-07,1.77887e-07,1.6437e-07,1.52203e-07,1.41222e-07,1.31284e-07,1.2227e-07,1.14074e-07,1.06605e-07,9.97854e-08,9.35451e-08,8.7824e-08,8.25692e-08,7.77343e-08,
