-150000,-147000,-144000,-141000,-138000,-135000,-132000,-129000,-126000,-123000,-120000,-117000,-114000,-111000,-108000,-105000,-102000,-99000,-96000,-93000,-90000,-87000,-84000,-81000,-78000,-75000,-72000,-69000,-66000,-63000,-60000,-57000,-54000,-51000,-48000,-45000,-42000,-39000,-36000,-33000,-30000,-27000,-24000,-21000,-18000,-15000,-12000,-9000,-6000,-3000,0,3000,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000,36000,39000,42000,45000,48000,51000,54000,57000,60000,63000,66000,69000,72000,75000,78000,81000,84000,87000,90000,93000,96000,99000,102000,105000,108000,111000,114000,117000,120000,123000,126000,129000,132000,135000,138000,141000,144000,147000,
0.0455617,-0.00958494,-0.00976608,-0.00995477,-0.0101515,-0.0103567,-0.0105711,-0.0107953,-0.0110298,-0.0112755,-0.0115332,-0.0118038,-0.0120882,-0.0123876,-0.0127032,-0.0130364,-0.0133885,-0.0137614,-0.0141569,-0.0145771,-0.0150243,-0.0155014,-0.0160114,-0.0165578,-0.0171447,-0.0177768,-0.0184594,-0.0191988,-0.0200026,-0.0208794,-0.0218397,-0.0228961,-0.0240636,-0.0253609,-0.0268108,-0.0284419,-0.0302905,-0.0324031,-0.0348408,-0.0376847,-0.0410457,-0.0450788,-0.0500082,-0.05617,-0.0640922,-0.074655,-0.089443,-0.111625,-0.148594,-0.222528,-0.44429,-0.000735987,0.442859,0.221098,0.147163,0.110194,0.0880126,0.0732247,0.0626618,0.0547396,0.0485778,0.0436484,0.0396153,0.0362543,0.0334104,0.0309727,0.0288601,0.0270115,0.0253804,0.0239305,0.0226333,0.0214657,0.0204094,0.019449,0.0185722,0.0177684,0.017029,0.0163464,0.0157143,0.0151275,0.014581,0.014071,0.0135939,0.0131467,0.0127265,0.012331,0.0119581,0.011606,0.0112729,0.0109573,0.0106578,0.0103734,0.0101028,0.00984512,0.00959941,0.00936486,0.00914073,0.00892635,0.00872109,0.00852438,0.00833569,
0.0911235,-0.0191699,-0.0195322,-0.0199095,-0.020303,-0.0207135,-0.0211423,-0.0215905,-0.0220596,-0.022551,-0.0230664,-0.0236076,-0.0241765,-0.0247753,-0.0254065,-0.0260727,-0.0267771,-0.0275228,-0.0283137,-0.0291541,-0.0300486,-0.0310028,-0.0320228,-0.0331157,-0.0342895,-0.0355535,-0.0369187,-0.0383976,-0.0400051,-0.0417588,-0.0436794,-0.0457921,-0.0481272,-0.0507217,-0.0536215,-0.0568836,-0.0605808,-0.064806,-0.0696813,-0.075369,-0.0820909,-0.0901571,-0.100016,-0.112339,-0.128183,-0.149308,-0.178882,-0.223241,-0.297167,-0.444988,-0.888037,-0.00146522,0.885176,0.442128,0.294306,0.22038,0.176021,0.146447,0.125322,0.109478,0.0971549,0.0872963,0.0792301,0.0725083,0.0668205,0.0619452,0.05772,0.0540229,0.0507607,0.0478609,0.0452664,0.0429314,0.0408187,0.038898,0.0371444,0.0355368,0.0340579,0.0326927,0.0314287,0.0302549,0.0291621,0.0281421,0.0271879,0.0262933,0.0254529,0.024662,0.0239163,0.023212,0.0225457,0.0219145,0.0213157,0.0207468,0.0202056,0.0196902,0.0191988,0.0187297,0.0182815,0.0178527,0.0174422,0.0170487,0.0166714,
0.136685,-0.0287548,-0.0292982,-0.0298643,-0.0304544,-0.0310702,-0.0317134,-0.0323857,-0.0330894,-0.0338265,-0.0345996,-0.0354113,-0.0362647,-0.0371629,-0.0381097,-0.0391091,-0.0401655,-0.0412842,-0.0424706,-0.0437311,-0.0450729,-0.0465042,-0.0480342,-0.0496734,-0.0514341,-0.0533302,-0.0553779,-0.0575963,-0.0600076,-0.0626381,-0.065519,-0.068688,-0.0721906,-0.0760824,-0.0804319,-0.0853251,-0.0908707,-0.0972085,-0.104521,-0.113053,-0.123135,-0.135234,-0.150022,-0.168506,-0.19227,-0.223955,-0.268312,-0.33484,-0.4457,-0.667313,-1.3307,-0.00219607,1.32641,0.663022,0.441409,0.330549,0.26402,0.219664,0.187979,0.164214,0.145731,0.130943,0.118844,0.108762,0.10023,0.0929173,0.0865796,0.081034,0.0761407,0.0717912,0.0678994,0.0643969,0.0612278,0.0583469,0.0557164,0.0533052,0.0510868,0.049039,0.0471429,0.0453823,0.043743,0.042213,0.0407818,0.0394399,0.0381794,0.036993,0.0358744,0.0348179,0.0338185,0.0328717,0.0319735,0.0311201,0.0303084,0.0295353,0.0287982,0.0280946,0.0274222,0.026779,0.0261632,0.0255731,0.0250071,
0.182247,-0.0383397,-0.0390643,-0.039819,-0.0406059,-0.0414269,-0.0422845,-0.0431809,-0.0441191,-0.045102,-0.0461327,-0.047215,-0.0483528,-0.0495505,-0.0508129,-0.0521454,-0.053554,-0.0550455,-0.0566273,-0.058308,-0.0600972,-0.0620055,-0.0640455,-0.0662311,-0.0685787,-0.0711068,-0.0738371,-0.0767949,-0.0800099,-0.0835172,-0.0873584,-0.0915837,-0.0962538,-0.101443,-0.107242,-0.113766,-0.12116,-0.12961,-0.139361,-0.150736,-0.164179,-0.18031,-0.200026,-0.224669,-0.256353,-0.298595,-0.357729,-0.446414,-0.594173,-0.889435,-1.77175,-0.0029273,1.76603,0.883713,0.588452,0.440692,0.352007,0.292873,0.250631,0.218948,0.194304,0.174588,0.158457,0.145014,0.133639,0.123889,0.115439,0.108045,0.10152,0.0957211,0.0905322,0.0858622,0.0816368,0.0777956,0.0742884,0.0710734,0.0681155,0.0653852,0.0628571,0.0605096,0.0583239,0.056284,0.0543756,0.0525865,0.0509058,0.0493239,0.0478324,0.0464238,0.0450913,0.0438289,0.0426313,0.0414935,0.0404112,0.0393804,0.0383976,0.0374594,0.0365629,0.0357054,0.0348843,0.0340975,0.0333427,
0.227809,-0.0479246,-0.0488303,-0.0497738,-0.0507573,-0.0517836,-0.0528555,-0.0539761,-0.0551489,-0.0563774,-0.0576659,-0.0590187,-0.060441,-0.061938,-0.063516,-0.0651816,-0.0669424,-0.0688068,-0.0707841,-0.0728849,-0.0751213,-0.0775068,-0.0800567,-0.0827887,-0.0857232,-0.0888832,-0.0922961,-0.0959934,-0.100012,-0.104396,-0.109198,-0.114479,-0.120317,-0.126803,-0.134052,-0.142207,-0.151449,-0.162012,-0.174199,-0.188417,-0.20522,-0.225383,-0.250026,-0.280829,-0.320429,-0.373225,-0.447128,-0.557954,-0.742566,-1.11129,-2.21065,-0.00365867,2.2035,1.10413,0.735414,0.550802,0.439976,0.366073,0.313277,0.273677,0.242874,0.218231,0.198068,0.181265,0.167047,0.15486,0.144297,0.135055,0.1269,0.119651,0.113165,0.107327,0.102046,0.0972441,0.0928601,0.0888414,0.0851442,0.0817313,0.0785712,0.0756368,0.0729047,0.0703548,0.0679693,0.065733,0.0636321,0.0616548,0.0597905,0.0580297,0.0563641,0.0547861,0.053289,0.0518668,0.0505139,0.0492254,0.0479969,0.0468242,0.0457036,0.0446316,0.0436053,0.0426218,0.0416784,
0.27337,-0.0575095,-0.0585963,-0.0597285,-0.0609087,-0.0621403,-0.0634266,-0.0647713,-0.0661786,-0.0676528,-0.069199,-0.0708224,-0.0725291,-0.0743255,-0.0762191,-0.0782178,-0.0803308,-0.0825679,-0.0849407,-0.0874617,-0.0901454,-0.0930079,-0.0960678,-0.0993462,-0.102867,-0.10666,-0.110755,-0.115192,-0.120014,-0.125275,-0.131036,-0.137374,-0.144379,-0.152162,-0.160861,-0.170647,-0.181737,-0.194412,-0.209036,-0.226097,-0.24626,-0.270454,-0.300023,-0.336983,-0.384498,-0.447842,-0.536506,-0.669452,-0.890859,-1.3328,-2.64689,-0.00439012,2.6383,1.32422,0.882276,0.660869,0.527924,0.43926,0.375915,0.3284,0.291441,0.261872,0.237677,0.217515,0.200454,0.185829,0.173155,0.162064,0.152278,0.14358,0.135797,0.128792,0.122454,0.116692,0.111432,0.106609,0.102173,0.0980772,0.0942851,0.0907639,0.0874854,0.0844255,0.081563,0.0788794,0.0763583,0.0739856,0.0717484,0.0696355,0.0676367,0.0657432,0.0639467,0.06224,0.0606166,0.0590704,0.0575962,0.0561889,0.0548442,0.0535579,0.0523264,0.0511461,0.050014,
0.318932,-0.0670944,-0.0683623,-0.0696831,-0.0710601,-0.0724969,-0.0739976,-0.0755664,-0.0772082,-0.0789282,-0.080732,-0.082626,-0.0846171,-0.086713,-0.0889221,-0.091254,-0.093719,-0.0963291,-0.0990973,-0.102038,-0.105169,-0.108509,-0.112079,-0.115904,-0.120012,-0.124436,-0.129214,-0.13439,-0.140016,-0.146153,-0.152875,-0.160269,-0.168441,-0.177521,-0.187669,-0.199086,-0.212024,-0.226811,-0.243871,-0.263775,-0.287297,-0.315521,-0.350016,-0.393131,-0.448557,-0.522445,-0.625858,-0.780899,-1.03903,-1.55391,-3.07994,-0.0051216,3.06992,1.54389,1.02902,0.770885,0.615845,0.512432,0.438544,0.383118,0.340003,0.305509,0.277284,0.253762,0.233859,0.216798,0.202011,0.189073,0.177657,0.167508,0.158428,0.150256,0.142862,0.13614,0.130003,0.124377,0.119201,0.114423,0.109999,0.105891,0.102066,0.0984961,0.0951566,0.0920257,0.0890845,0.0863163,0.0837063,0.0812412,0.0789094,0.0767002,0.0746044,0.0726132,0.0707192,0.0689154,0.0671955,0.0655537,0.0639848,0.0624842,0.0610473,0.0596704,0.0583496,
0.364494,-0.0766792,-0.0781283,-0.0796378,-0.0812114,-0.0828535,-0.0845685,-0.0863615,-0.0882378,-0.0902035,-0.092265,-0.0944295,-0.0967051,-0.0991004,-0.101625,-0.10429,-0.107107,-0.11009,-0.113254,-0.116615,-0.120193,-0.12401,-0.12809,-0.132461,-0.137156,-0.142212,-0.147672,-0.153587,-0.160017,-0.167031,-0.174713,-0.183163,-0.192503,-0.202879,-0.214477,-0.227524,-0.24231,-0.259208,-0.278705,-0.301451,-0.328331,-0.360585,-0.400003,-0.449271,-0.512605,-0.59703,-0.71518,-0.892286,-1.18706,-1.77455,-3.50933,-0.0058531,3.49787,1.7631,1.17562,0.880842,0.703736,0.585586,0.501161,0.437828,0.38856,0.349142,0.316888,0.290008,0.267262,0.247765,0.230867,0.216081,0.203034,0.191436,0.181059,0.17172,0.16327,0.155588,0.148574,0.142144,0.136229,0.130768,0.125712,0.121018,0.116646,0.112567,0.10875,0.105172,0.101811,0.0986469,0.0956641,0.0928469,0.0901819,0.0876572,0.0852619,0.0829864,0.0808218,0.0787603,0.0767947,0.0749183,0.0731254,0.0714103,0.0697683,0.0681946,0.0666851,
0.410056,-0.086264,-0.0878942,-0.0895924,-0.0913627,-0.0932101,-0.0951394,-0.0971565,-0.0992674,-0.101479,-0.103798,-0.106233,-0.108793,-0.111488,-0.114328,-0.117326,-0.120495,-0.123851,-0.12741,-0.131191,-0.135217,-0.13951,-0.1441,-0.149018,-0.154299,-0.159987,-0.16613,-0.172785,-0.180018,-0.187909,-0.196551,-0.206057,-0.216563,-0.228237,-0.241284,-0.255961,-0.272595,-0.291604,-0.313537,-0.339124,-0.369362,-0.405644,-0.449985,-0.505403,-0.57664,-0.671594,-0.804467,-1.00361,-1.33494,-1.99465,-3.93455,-0.00658462,3.92166,1.98177,1.32206,0.990732,0.791593,0.65872,0.563766,0.492529,0.437111,0.392771,0.356488,0.326251,0.300664,0.278731,0.259721,0.243088,0.22841,0.215363,0.20369,0.193183,0.183677,0.175035,0.167144,0.159911,0.153257,0.147114,0.141426,0.136144,0.131227,0.126637,0.122343,0.118318,0.114536,0.110977,0.107622,0.104452,0.101454,0.0986141,0.0959194,0.0933595,0.0909244,0.0886052,0.0863938,0.084283,0.0822659,0.0803365,0.0784892,0.0767188,0.0750207,
0.455617,-0.0958487,-0.0976601,-0.0995469,-0.101514,-0.103567,-0.10571,-0.107951,-0.110297,-0.112754,-0.115331,-0.118036,-0.120881,-0.123875,-0.127031,-0.130362,-0.133883,-0.137612,-0.141566,-0.145768,-0.15024,-0.155011,-0.160111,-0.165574,-0.171443,-0.177763,-0.184588,-0.191982,-0.200019,-0.208786,-0.218388,-0.22895,-0.240623,-0.253594,-0.26809,-0.284397,-0.302878,-0.323998,-0.348367,-0.376795,-0.410389,-0.450699,-0.49996,-0.561525,-0.640661,-0.746136,-0.893715,-1.11485,-1.48263,-2.21415,-4.35516,-0.00731615,4.34083,2.19984,1.46832,1.10055,0.87941,0.731832,0.626357,0.547221,0.485656,0.436395,0.396085,0.362491,0.334063,0.309694,0.288574,0.270093,0.253786,0.23929,0.226319,0.214646,0.204084,0.194482,0.185715,0.177678,0.170284,0.163459,0.157139,0.15127,0.145807,0.140707,0.135936,0.131464,0.127262,0.123308,0.119579,0.116058,0.112727,0.109571,0.106577,0.103732,0.101027,0.09845,0.0959929,0.0936475,0.0914064,0.0892626,0.08721,0.0852429,0.0833561,
