-150000,-147000,-144000,-141000,-138000,-135000,-132000,-129000,-126000,-123000,-120000,-117000,-114000,-111000,-108000,-105000,-102000,-99000,-96000,-93000,-90000,-87000,-84000,-81000,-78000,-75000,-72000,-69000,-66000,-63000,-60000,-57000,-54000,-51000,-48000,-45000,-42000,-39000,-36000,-33000,-30000,-27000,-24000,-21000,-18000,-15000,-12000,-9000,-6000,-3000,0,3000,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000,36000,39000,42000,45000,48000,51000,54000,57000,60000,63000,66000,69000,72000,75000,78000,81000,84000,87000,90000,93000,96000,99000,102000,105000,108000,111000,114000,117000,120000,123000,126000,129000,132000,135000,138000,141000,144000,147000,
0.0455617,-4.31716e-09,-4.59445e-09,-4.89536e-09,-5.22246e-09,-5.57866e-09,-5.96727e-09,-6.39206e-09,-6.85733e-09,-7.36803e-09,-7.92982e-09,-8.54927e-09,-9.23396e-09,-9.9927e-09,-1.08358e-08,-1.17752e-08,-1.28253e-08,-1.40026e-08,-1.53271e-08,-1.68225e-08,-1.85173e-08,-2.04459e-08,-2.26499e-08,-2.51803e-08,-2.80999e-08,-3.14864e-08,-3.54369e-08,-4.00739e-08,-4.55533e-08,-5.20752e-08,-5.98997e-08,-6.9369e-08,-8.0939e-08,-9.52256e-08,-1.13075e-07,-1.35672e-07,-1.64703e-07,-2.02633e-07,-2.53149e-07,-3.21934e-07,-4.18052e-07,-5.56546e-07,-7.63591e-07,-1.08743e-06,-1.62351e-06,-2.57851e-06,-4.45639e-06,-8.70522e-06,-2.06375e-05,-6.9659e-05,-0.000557223,9.71635e-05,0.000557395,6.97005e-05,2.0656e-05,8.71574e-06,4.4632e-06,2.58331e-06,1.62709e-06,1.09022e-06,7.65845e-07,5.58414e-07,4.19634e-07,3.23298e-07,2.54344e-07,2.03694e-07,1.65656e-07,1.36536e-07,1.13866e-07,9.5955e-08,8.16163e-08,7.00019e-08,6.04943e-08,5.26366e-08,4.60858e-08,4.0581e-08,3.59216e-08,3.19512e-08,2.8547e-08,2.56116e-08,2.30669e-08,2.085e-08,1.89099e-08,1.72045e-08,1.56995e-08,1.43662e-08,1.31809e-08,1.21235e-08,1.11773e-08,1.03279e-08,9.56341e-09,8.87338e-09,8.24897e-09,7.68256e-09,7.16758e-09,6.6983e-09,6.26978e-09,5.87767e-09,5.5182e-09,5.18802e-09,4.88423e-09,
0.0911235,-1.72684e-08,-1.83776e-08,-1.95812e-08,-2.08896e-08,-2.23144e-08,-2.38689e-08,-2.5568e-08,-2.74291e-08,-2.94718e-08,-3.1719e-08,-3.41968e-08,-3.69356e-08,-3.99705e-08,-4.33428e-08,-4.71007e-08,-5.13008e-08,-5.601e-08,-6.1308e-08,-6.72897e-08,-7.40689e-08,-8.17831e-08,-9.05991e-08,-1.00721e-07,-1.12399e-07,-1.25945e-07,-1.41747e-07,-1.60295e-07,-1.82212e-07,-2.083e-07,-2.39598e-07,-2.77475e-07,-3.23754e-07,-3.809e-07,-4.52299e-07,-5.42684e-07,-6.58809e-07,-8.10526e-07,-1.01259e-06,-1.28772e-06,-1.67219e-06,-2.22616e-06,-3.05432e-06,-4.34963e-06,-6.49387e-06,-1.03137e-05,-1.78247e-05,-3.48182e-05,-8.25387e-05,-0.000278551,-0.00222615,nan,0.00222687,0.000278717,8.26128e-05,3.48603e-05,1.78519e-05,1.03329e-05,6.5082e-06,4.36081e-06,3.06333e-06,2.23363e-06,1.67852e-06,1.29318e-06,1.01737e-06,8.14772e-07,6.62621e-07,5.46142e-07,4.55463e-07,3.83818e-07,3.26464e-07,2.80006e-07,2.41976e-07,2.10545e-07,1.84342e-07,1.62323e-07,1.43686e-07,1.27804e-07,1.14187e-07,1.02446e-07,9.22671e-08,8.33998e-08,7.56391e-08,6.88178e-08,6.27977e-08,5.74646e-08,5.27232e-08,4.84937e-08,4.47087e-08,4.13114e-08,3.82534e-08,3.54933e-08,3.29956e-08,3.073e-08,2.86701e-08,2.6793e-08,2.50789e-08,2.35105e-08,2.20726e-08,2.07519e-08,1.95367e-08,
0.136685,-3.88535e-08,-4.13491e-08,-4.40573e-08,-4.70011e-08,-5.02069e-08,-5.37044e-08,-5.75274e-08,-6.17148e-08,-6.6311e-08,-7.13672e-08,-7.69422e-08,-8.31043e-08,-8.99329e-08,-9.75206e-08,-1.05976e-07,-1.15426e-07,-1.26022e-07,-1.37942e-07,-1.51401e-07,-1.66654e-07,-1.84011e-07,-2.03847e-07,-2.26621e-07,-2.52896e-07,-2.83374e-07,-3.18929e-07,-3.60662e-07,-4.09975e-07,-4.68671e-07,-5.39091e-07,-6.24314e-07,-7.28442e-07,-8.57019e-07,-1.01766e-06,-1.22103e-06,-1.4823e-06,-1.82366e-06,-2.27829e-06,-2.89733e-06,-3.76236e-06,-5.00875e-06,-6.87204e-06,-9.78635e-06,-1.46106e-05,-2.32045e-05,-4.01023e-05,-7.8331e-05,-0.00018567,-0.000626419,-0.00499863,0.000100906,0.00500029,0.000626794,0.000185837,7.84256e-05,4.01636e-05,2.32477e-05,1.46428e-05,9.8115e-06,6.89232e-06,5.02556e-06,3.7766e-06,2.90962e-06,2.28905e-06,1.83322e-06,1.49088e-06,1.22881e-06,1.02478e-06,8.63584e-07,7.34538e-07,6.3001e-07,5.44443e-07,4.73724e-07,4.14767e-07,3.65225e-07,3.23291e-07,2.87558e-07,2.5692e-07,2.30502e-07,2.076e-07,1.87648e-07,1.70187e-07,1.54839e-07,1.41294e-07,1.29295e-07,1.18627e-07,1.0911e-07,1.00594e-07,9.29501e-08,8.60695e-08,7.98593e-08,7.42396e-08,6.9142e-08,6.45072e-08,6.02837e-08,5.64271e-08,5.28981e-08,4.96629e-08,4.66913e-08,4.39572e-08,
0.182247,-6.9072e-08,-7.35086e-08,-7.83231e-08,-8.35566e-08,-8.92557e-08,-9.54734e-08,-1.0227e-07,-1.09714e-07,-1.17885e-07,-1.26874e-07,-1.36785e-07,-1.4774e-07,-1.59879e-07,-1.73369e-07,-1.884e-07,-2.052e-07,-2.24037e-07,-2.45229e-07,-2.69155e-07,-2.96272e-07,-3.27128e-07,-3.62392e-07,-4.02878e-07,-4.4959e-07,-5.03773e-07,-5.6698e-07,-6.41171e-07,-7.28839e-07,-8.33187e-07,-9.58377e-07,-1.10988e-06,-1.295e-06,-1.52357e-06,-1.80916e-06,-2.17069e-06,-2.63517e-06,-3.24202e-06,-4.05022e-06,-5.15071e-06,-6.68849e-06,-8.90418e-06,-1.22165e-05,-1.73972e-05,-2.59729e-05,-4.12492e-05,-7.12848e-05,-0.00013923,-0.000329975,-0.00111284,-0.00886114,0.000100954,0.00886419,0.00111351,0.000330272,0.000139398,7.13937e-05,4.13259e-05,2.60302e-05,1.74419e-05,1.22526e-05,8.93406e-06,6.7138e-06,5.17255e-06,4.06935e-06,3.259e-06,2.65042e-06,2.18452e-06,1.82182e-06,1.53525e-06,1.30583e-06,1.12001e-06,9.6789e-07,8.4217e-07,7.37359e-07,6.49285e-07,5.74735e-07,5.1121e-07,4.56744e-07,4.09778e-07,3.69064e-07,3.33595e-07,3.02553e-07,2.75267e-07,2.51187e-07,2.29855e-07,2.1089e-07,1.93972e-07,1.78832e-07,1.65243e-07,1.53011e-07,1.41971e-07,1.3198e-07,1.22918e-07,1.14678e-07,1.0717e-07,1.00314e-07,9.40402e-08,8.82887e-08,8.3006e-08,7.81453e-08,
0.227809,-1.07924e-07,-1.14856e-07,-1.22378e-07,-1.30556e-07,-1.3946e-07,-1.49176e-07,-1.59795e-07,-1.71427e-07,-1.84194e-07,-1.98238e-07,-2.13724e-07,-2.30841e-07,-2.49809e-07,-2.70886e-07,-2.94372e-07,-3.20622e-07,-3.50055e-07,-3.83167e-07,-4.20551e-07,-4.62921e-07,-5.11134e-07,-5.66232e-07,-6.29492e-07,-7.02479e-07,-7.87139e-07,-8.85899e-07,-1.00182e-06,-1.1388e-06,-1.30184e-06,-1.49745e-06,-1.73417e-06,-2.02341e-06,-2.38055e-06,-2.82677e-06,-3.39165e-06,-4.11738e-06,-5.06556e-06,-6.32833e-06,-8.04778e-06,-1.04504e-05,-1.39123e-05,-1.90874e-05,-2.71815e-05,-4.05796e-05,-6.44453e-05,-0.000111366,-0.000217497,-0.000515376,-0.00173722,-0.0137949,0.000100969,0.0137998,0.00173826,0.00051584,0.00021776,0.000111536,6.45651e-05,4.06691e-05,2.72514e-05,1.91438e-05,1.3959e-05,1.049e-05,8.08189e-06,6.35822e-06,5.09209e-06,4.14121e-06,3.41326e-06,2.84655e-06,2.39879e-06,2.04034e-06,1.74999e-06,1.51231e-06,1.31588e-06,1.15211e-06,1.0145e-06,8.98016e-07,7.98759e-07,7.13657e-07,6.40273e-07,5.76658e-07,5.21238e-07,4.72735e-07,4.30102e-07,3.92477e-07,3.59146e-07,3.29513e-07,3.03079e-07,2.79423e-07,2.58191e-07,2.39078e-07,2.21828e-07,2.06218e-07,1.92058e-07,1.79183e-07,1.67452e-07,1.56739e-07,1.46936e-07,1.3795e-07,1.29696e-07,1.22101e-07,
0.27337,-1.55408e-07,-1.6539e-07,-1.76223e-07,-1.87998e-07,-2.00821e-07,-2.1481e-07,-2.30102e-07,-2.46852e-07,-2.65236e-07,-2.8546e-07,-3.0776e-07,-3.32408e-07,-3.59722e-07,-3.90072e-07,-4.23892e-07,-4.61692e-07,-5.04074e-07,-5.51755e-07,-6.05589e-07,-6.666e-07,-7.36026e-07,-8.15367e-07,-9.0646e-07,-1.01156e-06,-1.13347e-06,-1.27568e-06,-1.44261e-06,-1.63985e-06,-1.87463e-06,-2.1563e-06,-2.49717e-06,-2.91366e-06,-3.42795e-06,-4.07049e-06,-4.88388e-06,-5.92891e-06,-7.29423e-06,-9.11255e-06,-1.15884e-05,-1.50481e-05,-2.00328e-05,-2.74844e-05,-3.91386e-05,-5.84292e-05,-9.27896e-05,-0.000160338,-0.000313108,-0.000741772,-0.00249879,-0.0197763,0.000100975,0.0197835,0.0025003,0.000742439,0.000313487,0.000160583,9.29622e-05,5.85582e-05,3.92392e-05,2.75655e-05,2.01e-05,1.5105e-05,1.16376e-05,9.15559e-06,7.33244e-06,5.96322e-06,4.915e-06,4.09896e-06,3.45421e-06,2.93805e-06,2.51996e-06,2.17771e-06,1.89484e-06,1.65902e-06,1.46086e-06,1.29313e-06,1.1502e-06,1.02766e-06,9.21985e-07,8.3038e-07,7.50577e-07,6.80733e-07,6.19342e-07,5.65163e-07,5.17166e-07,4.74495e-07,4.3643e-07,4.02366e-07,3.71791e-07,3.4427e-07,3.19429e-07,2.96951e-07,2.76561e-07,2.58022e-07,2.41128e-07,2.25702e-07,2.11586e-07,1.98646e-07,1.8676e-07,1.75823e-07,
0.318932,-2.11525e-07,-2.25111e-07,-2.39855e-07,-2.55883e-07,-2.73336e-07,-2.92377e-07,-3.13191e-07,-3.35989e-07,-3.61012e-07,-3.88539e-07,-4.18891e-07,-4.52439e-07,-4.89617e-07,-5.30926e-07,-5.76958e-07,-6.28407e-07,-6.86094e-07,-7.50993e-07,-8.24265e-07,-9.07308e-07,-1.0018e-06,-1.10979e-06,-1.23378e-06,-1.37683e-06,-1.54276e-06,-1.73632e-06,-1.96353e-06,-2.232e-06,-2.55155e-06,-2.93492e-06,-3.39888e-06,-3.96576e-06,-4.66573e-06,-5.54028e-06,-6.64736e-06,-8.06971e-06,-9.92798e-06,-1.24028e-05,-1.57725e-05,-2.04812e-05,-2.72653e-05,-3.74068e-05,-5.32676e-05,-7.95201e-05,-0.000126278,-0.000218192,-0.000426034,-0.00100904,-0.00339664,-0.0267764,0.000100979,0.0267865,0.00339869,0.00100995,0.000426549,0.000218526,0.000126513,7.96955e-05,5.34045e-05,3.75173e-05,2.73569e-05,2.05587e-05,1.58394e-05,1.24614e-05,9.97998e-06,8.11641e-06,6.68972e-06,5.57903e-06,4.70148e-06,3.99895e-06,3.42989e-06,2.96406e-06,2.57906e-06,2.25809e-06,1.98837e-06,1.76008e-06,1.56554e-06,1.39874e-06,1.25491e-06,1.13023e-06,1.02161e-06,9.26544e-07,8.42986e-07,7.69242e-07,7.03914e-07,6.45835e-07,5.94025e-07,5.4766e-07,5.06045e-07,4.68585e-07,4.34774e-07,4.04179e-07,3.76426e-07,3.51193e-07,3.28199e-07,3.07202e-07,2.8799e-07,2.70376e-07,2.54198e-07,2.39312e-07,
0.364494,-2.76273e-07,-2.94019e-07,-3.13276e-07,-3.3421e-07,-3.57006e-07,-3.81876e-07,-4.09061e-07,-4.38837e-07,-4.7152e-07,-5.07474e-07,-5.47117e-07,-5.90935e-07,-6.39492e-07,-6.93447e-07,-7.5357e-07,-8.20768e-07,-8.96113e-07,-9.80878e-07,-1.07658e-06,-1.18504e-06,-1.30846e-06,-1.44951e-06,-1.61145e-06,-1.79829e-06,-2.01501e-06,-2.26782e-06,-2.56457e-06,-2.91522e-06,-3.33258e-06,-3.83331e-06,-4.43928e-06,-5.17967e-06,-6.0939e-06,-7.23612e-06,-8.68205e-06,-1.05397e-05,-1.29667e-05,-1.6199e-05,-2.06e-05,-2.67496e-05,-3.56097e-05,-4.88542e-05,-6.95674e-05,-0.00010385,-0.000164907,-0.000284916,-0.00055624,-0.00131704,-0.00442967,-0.0347623,0.000100981,0.0347757,0.00443235,0.00131822,0.000556913,0.000285351,0.000165214,0.000104079,6.97461e-05,4.89984e-05,3.57292e-05,2.68508e-05,2.06873e-05,1.62755e-05,1.30347e-05,1.06007e-05,8.73738e-06,7.28674e-06,6.14058e-06,5.22302e-06,4.47978e-06,3.87136e-06,3.36852e-06,2.9493e-06,2.59703e-06,2.29885e-06,2.04476e-06,1.82691e-06,1.63905e-06,1.4762e-06,1.33433e-06,1.21017e-06,1.10103e-06,1.00471e-06,9.19389e-07,8.43531e-07,7.75861e-07,7.15305e-07,6.6095e-07,6.12023e-07,5.67863e-07,5.27902e-07,4.91654e-07,4.58696e-07,4.28664e-07,4.01239e-07,3.76146e-07,3.5314e-07,3.3201e-07,3.12567e-07,
0.410056,-3.49653e-07,-3.72112e-07,-3.96485e-07,-4.22978e-07,-4.51829e-07,-4.83305e-07,-5.17711e-07,-5.55396e-07,-5.9676e-07,-6.42264e-07,-6.92436e-07,-7.47893e-07,-8.09348e-07,-8.77634e-07,-9.53726e-07,-1.03877e-06,-1.13413e-06,-1.24141e-06,-1.36253e-06,-1.4998e-06,-1.656e-06,-1.83452e-06,-2.03947e-06,-2.27593e-06,-2.55021e-06,-2.87018e-06,-3.24574e-06,-3.68952e-06,-4.21773e-06,-4.85144e-06,-5.61836e-06,-6.55538e-06,-7.71241e-06,-9.15798e-06,-1.09879e-05,-1.33389e-05,-1.64104e-05,-2.0501e-05,-2.60706e-05,-3.3853e-05,-4.50654e-05,-6.18258e-05,-8.80367e-05,-0.000131417,-0.00020867,-0.000360497,-0.000703687,-0.00166559,-0.00559662,-0.0436963,0.000100984,0.0437136,0.00560002,0.00166709,0.000704538,0.000361048,0.000209058,0.000131706,8.82629e-05,6.20083e-05,4.52166e-05,3.39811e-05,2.61811e-05,2.05978e-05,1.64964e-05,1.34161e-05,1.10579e-05,9.22205e-06,7.7715e-06,6.61025e-06,5.66962e-06,4.89961e-06,4.26321e-06,3.73265e-06,3.28682e-06,2.90944e-06,2.58786e-06,2.31215e-06,2.0744e-06,1.8683e-06,1.68875e-06,1.5316e-06,1.39348e-06,1.27158e-06,1.16359e-06,1.06758e-06,9.81939e-07,9.05298e-07,8.36506e-07,7.74584e-07,7.18694e-07,6.68119e-07,6.22243e-07,5.80531e-07,5.42522e-07,5.07813e-07,4.76054e-07,4.46938e-07,4.20195e-07,3.95589e-07,
0.455617,-4.31664e-07,-4.59391e-07,-4.8948e-07,-5.22188e-07,-5.57806e-07,-5.96665e-07,-6.39141e-07,-6.85666e-07,-7.36732e-07,-7.92908e-07,-8.54849e-07,-9.23314e-07,-9.99183e-07,-1.08349e-06,-1.17743e-06,-1.28242e-06,-1.40014e-06,-1.53259e-06,-1.68212e-06,-1.85158e-06,-2.04442e-06,-2.2648e-06,-2.51782e-06,-2.80975e-06,-3.14836e-06,-3.54337e-06,-4.00702e-06,-4.55488e-06,-5.20698e-06,-5.98932e-06,-6.93609e-06,-8.09288e-06,-9.52125e-06,-1.13058e-05,-1.35649e-05,-1.64672e-05,-2.0259e-05,-2.53087e-05,-3.21842e-05,-4.17911e-05,-5.56319e-05,-7.63208e-05,-0.000108674,-0.000162217,-0.000257562,-0.00044492,-0.000868329,-0.00205452,-0.0068961,-0.053537,0.000100986,0.0535587,0.00690029,0.00205637,0.000869379,0.0004456,0.000258041,0.000162575,0.000108953,7.65461e-05,5.58186e-05,4.19492e-05,3.23206e-05,2.54282e-05,2.03651e-05,1.65625e-05,1.36513e-05,1.13849e-05,9.5942e-06,8.16061e-06,6.99939e-06,6.04878e-06,5.26313e-06,4.60814e-06,4.05773e-06,3.59184e-06,3.19485e-06,2.85447e-06,2.56095e-06,2.30651e-06,2.08485e-06,1.89084e-06,1.72032e-06,1.56983e-06,1.43652e-06,1.31799e-06,1.21226e-06,1.11764e-06,1.03271e-06,9.56266e-07,8.87267e-07,8.2483e-07,7.68193e-07,7.16697e-07,6.69772e-07,6.26922e-07,5.87714e-07,5.51768e-07,5.18753e-07,4.88375e-07,
