-150000,-147000,-144000,-141000,-138000,-135000,-132000,-129000,-126000,-123000,-120000,-117000,-114000,-111000,-108000,-105000,-102000,-99000,-96000,-93000,-90000,-87000,-84000,-81000,-78000,-75000,-72000,-69000,-66000,-63000,-60000,-57000,-54000,-51000,-48000,-45000,-42000,-39000,-36000,-33000,-30000,-27000,-24000,-21000,-18000,-15000,-12000,-9000,-6000,-3000,0,3000,6000,9000,12000,15000,18000,21000,24000,27000,30000,33000,36000,39000,42000,45000,48000,51000,54000,57000,60000,63000,66000,69000,72000,75000,78000,81000,84000,87000,90000,93000,96000,99000,102000,105000,108000,111000,114000,117000,120000,123000,126000,129000,132000,135000,138000,141000,144000,147000,
0.0455617,131.957,131.956,131.955,131.954,131.953,131.951,131.95,131.948,131.947,131.945,131.943,131.942,131.94,131.938,131.936,131.933,131.931,131.929,131.926,131.923,131.92,131.917,131.914,131.91,131.906,131.902,131.897,131.892,131.886,131.88,131.874,131.866,131.858,131.849,131.839,131.827,131.814,131.799,131.781,131.759,131.734,131.703,131.664,131.614,131.548,131.454,131.314,131.081,130.612,129.196,132.013,134.771,133.4,132.939,132.708,132.569,132.477,132.411,132.361,132.323,132.292,132.266,132.245,132.227,132.212,132.199,132.187,132.177,132.168,132.16,132.152,132.146,132.14,132.134,132.129,132.125,132.12,132.116,132.113,132.109,132.106,132.103,132.1,132.098,132.095,132.093,132.091,132.088,132.086,132.085,132.083,132.081,132.079,132.078,132.076,132.075,132.074,132.072,132.071,132.07,
0.0911235,131.897,131.895,131.892,131.89,131.887,131.885,131.882,131.879,131.876,131.873,131.869,131.866,131.862,131.858,131.854,131.849,131.845,131.84,131.834,131.829,131.823,131.816,131.809,131.802,131.794,131.785,131.776,131.766,131.755,131.743,131.73,131.715,131.699,131.68,131.66,131.636,131.61,131.579,131.543,131.501,131.45,131.388,131.31,131.21,131.076,130.889,130.607,130.137,129.191,126.315,nan,137.467,134.767,133.854,133.395,133.119,132.935,132.803,132.704,132.627,132.565,132.515,132.472,132.437,132.406,132.38,132.357,132.336,132.318,132.302,132.287,132.274,132.262,132.251,132.241,132.231,132.223,132.215,132.208,132.201,132.194,132.188,132.183,132.177,132.173,132.168,132.163,132.159,132.155,132.151,132.148,132.145,132.141,132.138,132.135,132.132,132.13,132.127,132.125,132.122,
0.136685,131.837,131.833,131.83,131.826,131.822,131.818,131.814,131.81,131.805,131.8,131.795,131.79,131.784,131.778,131.772,131.765,131.758,131.751,131.743,131.734,131.725,131.715,131.705,131.694,131.682,131.669,131.655,131.64,131.623,131.605,131.585,131.563,131.539,131.511,131.48,131.445,131.405,131.359,131.305,131.242,131.165,131.072,130.955,130.804,130.603,130.321,129.897,129.187,127.756,123.374,132.004,140.104,136.12,134.763,134.078,133.666,133.391,133.194,133.045,132.93,132.838,132.762,132.699,132.646,132.6,132.561,132.526,132.495,132.468,132.444,132.422,132.402,132.384,132.367,132.352,132.338,132.325,132.314,132.302,132.292,132.283,132.274,132.265,132.257,132.25,132.243,132.236,132.23,132.224,132.218,132.213,132.208,132.203,132.198,132.194,132.19,132.186,132.182,132.178,132.175,
0.182247,131.777,131.772,131.767,131.762,131.757,131.752,131.746,131.74,131.734,131.727,131.721,131.713,131.706,131.698,131.69,131.681,131.671,131.661,131.651,131.639,131.627,131.615,131.601,131.586,131.57,131.553,131.534,131.514,131.492,131.468,131.441,131.411,131.379,131.342,131.301,131.254,131.201,131.139,131.067,130.982,130.88,130.755,130.598,130.397,130.128,129.75,129.182,128.23,126.306,120.372,131.999,142.683,137.458,135.665,134.758,134.211,133.845,133.583,133.386,133.233,133.11,133.01,132.926,132.855,132.794,132.741,132.695,132.654,132.618,132.585,132.556,132.53,132.506,132.484,132.463,132.445,132.428,132.412,132.397,132.384,132.371,132.359,132.348,132.337,132.327,132.318,132.309,132.301,132.293,132.285,132.278,132.271,132.265,132.259,132.253,132.247,132.242,132.237,132.232,132.227,
0.227809,131.716,131.71,131.705,131.698,131.692,131.685,131.678,131.671,131.663,131.655,131.646,131.637,131.628,131.618,131.607,131.596,131.585,131.572,131.559,131.545,131.53,131.514,131.496,131.478,131.458,131.436,131.413,131.388,131.36,131.33,131.296,131.259,131.218,131.173,131.121,131.063,130.996,130.919,130.828,130.722,130.594,130.437,130.241,129.989,129.651,129.178,128.464,127.266,124.84,117.308,131.995,145.204,138.782,136.56,135.434,134.754,134.298,133.972,133.726,133.535,133.382,133.256,133.152,133.063,132.987,132.921,132.863,132.813,132.767,132.727,132.69,132.657,132.627,132.6,132.575,132.552,132.53,132.51,132.492,132.475,132.459,132.444,132.43,132.417,132.404,132.393,132.382,132.371,132.361,132.352,132.343,132.335,132.327,132.319,132.312,132.304,132.298,132.291,132.285,132.279,
0.27337,131.656,131.649,131.642,131.634,131.627,131.619,131.61,131.601,131.592,131.582,131.572,131.561,131.55,131.538,131.525,131.512,131.498,131.483,131.467,131.45,131.432,131.413,131.392,131.37,131.346,131.32,131.292,131.261,131.228,131.192,131.152,131.107,131.058,131.003,130.941,130.871,130.79,130.698,130.589,130.461,130.307,130.119,129.883,129.579,129.173,128.602,127.742,126.296,123.36,114.182,131.99,147.667,140.091,137.449,136.107,135.294,134.749,134.359,134.065,133.836,133.653,133.503,133.377,133.271,133.18,133.101,133.032,132.971,132.917,132.868,132.824,132.785,132.749,132.716,132.686,132.658,132.632,132.609,132.587,132.566,132.547,132.529,132.512,132.497,132.482,132.468,132.454,132.442,132.43,132.419,132.408,132.398,132.388,132.379,132.37,132.362,132.354,132.346,132.339,132.332,
0.318932,131.595,131.587,131.579,131.57,131.561,131.552,131.542,131.532,131.521,131.509,131.497,131.485,131.472,131.458,131.443,131.427,131.411,131.394,131.375,131.355,131.334,131.312,131.287,131.261,131.233,131.203,131.171,131.135,131.096,131.054,131.007,130.955,130.897,130.833,130.761,130.679,130.585,130.476,130.35,130.2,130.02,129.8,129.524,129.169,128.693,128.025,127.016,125.319,121.864,110.992,131.985,150.072,141.386,138.332,136.776,135.832,135.199,134.745,134.403,134.137,133.923,133.749,133.603,133.479,133.373,133.281,133.2,133.129,133.066,133.009,132.958,132.912,132.87,132.832,132.797,132.764,132.735,132.707,132.681,132.657,132.635,132.614,132.595,132.576,132.559,132.543,132.527,132.513,132.499,132.486,132.473,132.461,132.45,132.439,132.429,132.419,132.41,132.401,132.392,132.384,
0.364494,131.535,131.526,131.516,131.506,131.496,131.485,131.474,131.462,131.45,131.437,131.423,131.409,131.393,131.378,131.361,131.343,131.324,131.304,131.283,131.26,131.236,131.21,131.183,131.153,131.121,131.087,131.049,131.008,130.964,130.915,130.862,130.803,130.737,130.663,130.58,130.486,130.379,130.255,130.11,129.938,129.732,129.48,129.164,128.757,128.212,127.445,126.287,124.336,120.352,107.735,131.981,152.419,142.666,139.208,137.441,136.368,135.647,135.13,134.741,134.437,134.193,133.994,133.827,133.686,133.565,133.46,133.368,133.287,133.215,133.15,133.092,133.04,132.992,132.948,132.908,132.871,132.837,132.805,132.776,132.749,132.723,132.699,132.677,132.656,132.636,132.617,132.6,132.583,132.567,132.552,132.538,132.524,132.512,132.499,132.488,132.476,132.466,132.455,132.445,132.436,
0.410056,131.475,131.464,131.454,131.442,131.431,131.418,131.406,131.392,131.378,131.364,131.348,131.332,131.315,131.297,131.278,131.258,131.237,131.215,131.191,131.165,131.138,131.109,131.078,131.045,131.009,130.97,130.927,130.882,130.832,130.777,130.717,130.65,130.576,130.493,130.399,130.294,130.173,130.033,129.869,129.676,129.444,129.159,128.803,128.343,127.728,126.862,125.554,123.345,118.826,104.41,131.976,154.709,143.932,140.078,138.102,136.901,136.094,135.514,135.077,134.736,134.463,134.239,134.052,133.893,133.757,133.64,133.536,133.445,133.364,133.291,133.226,133.167,133.113,133.064,133.019,132.977,132.939,132.903,132.87,132.84,132.811,132.784,132.759,132.735,132.713,132.692,132.672,132.654,132.636,132.619,132.603,132.588,132.573,132.559,132.546,132.534,132.521,132.51,132.499,132.488,
0.455617,131.414,131.403,131.391,131.378,131.365,131.352,131.338,131.323,131.307,131.291,131.274,131.256,131.237,131.217,131.196,131.174,131.15,131.125,131.099,131.07,131.04,131.008,130.973,130.936,130.896,130.853,130.806,130.755,130.699,130.638,130.571,130.497,130.415,130.322,130.218,130.101,129.966,129.81,129.629,129.413,129.155,128.838,128.441,127.929,127.243,126.277,124.816,122.348,117.284,101.013,131.972,156.94,145.183,140.942,138.76,137.432,136.538,135.896,135.412,135.035,134.732,134.483,134.276,134.1,133.949,133.819,133.704,133.603,133.513,133.432,133.359,133.294,133.234,133.179,133.129,133.083,133.041,133.001,132.965,132.931,132.899,132.869,132.841,132.815,132.79,132.767,132.745,132.724,132.704,132.686,132.668,132.651,132.635,132.619,132.605,132.591,132.577,132.564,132.552,132.54,
